NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,AREA
Chiquimula,Camotán,Hombre,95,2,Rural
Chiquimula,Camotán,Hombre,97,3,Rural
Chiquimula,Camotán,Hombre,98,1,Rural
Chiquimula,Camotán,Hombre,100,1,Rural
Chiquimula,Camotán,Hombre,106,1,Rural
Chiquimula,Camotán,Hombre,108,1,Rural
Chiquimula,Camotán,Mujer,0,829,Rural
Chiquimula,Camotán,Mujer,0,9,Urbano
Chiquimula,Camotán,Mujer,1,777,Rural
Chiquimula,Camotán,Mujer,1,12,Urbano
Chiquimula,Camotán,Mujer,2,857,Rural
Chiquimula,Camotán,Mujer,2,4,Urbano
Chiquimula,Camotán,Mujer,3,797,Rural
Chiquimula,Camotán,Mujer,3,10,Urbano
Chiquimula,Camotán,Mujer,4,826,Rural
Chiquimula,Camotán,Mujer,4,8,Urbano
Chiquimula,Camotán,Mujer,5,760,Rural
Chiquimula,Camotán,Mujer,5,9,Urbano
Chiquimula,Camotán,Mujer,6,785,Rural
Chiquimula,Camotán,Mujer,6,7,Urbano
Chiquimula,Camotán,Mujer,7,767,Rural
Chiquimula,Camotán,Mujer,7,8,Urbano
Chiquimula,Camotán,Mujer,8,693,Rural
Chiquimula,Camotán,Mujer,8,6,Urbano
Chiquimula,Camotán,Mujer,9,705,Rural
Chiquimula,Camotán,Mujer,9,5,Urbano
Chiquimula,Camotán,Mujer,10,725,Rural
Chiquimula,Camotán,Mujer,10,5,Urbano
Chiquimula,Camotán,Mujer,11,735,Rural
Chiquimula,Camotán,Mujer,11,7,Urbano
Chiquimula,Camotán,Mujer,12,709,Rural
Chiquimula,Camotán,Mujer,12,4,Urbano
Chiquimula,Camotán,Mujer,13,709,Rural
Chiquimula,Camotán,Mujer,13,9,Urbano
Chiquimula,Camotán,Mujer,14,669,Rural
Chiquimula,Camotán,Mujer,14,4,Urbano
Chiquimula,Camotán,Mujer,15,768,Rural
Chiquimula,Camotán,Mujer,15,7,Urbano
Chiquimula,Camotán,Mujer,16,718,Rural
Chiquimula,Camotán,Mujer,16,4,Urbano
Chiquimula,Camotán,Mujer,17,735,Rural
Chiquimula,Camotán,Mujer,17,11,Urbano
Chiquimula,Camotán,Mujer,18,722,Rural
Chiquimula,Camotán,Mujer,18,8,Urbano
Chiquimula,Camotán,Mujer,19,630,Rural
Chiquimula,Camotán,Mujer,19,6,Urbano
Chiquimula,Camotán,Mujer,20,601,Rural
Chiquimula,Camotán,Mujer,20,12,Urbano
Chiquimula,Camotán,Mujer,21,518,Rural
Chiquimula,Camotán,Mujer,21,10,Urbano
Chiquimula,Camotán,Mujer,22,516,Rural
Chiquimula,Camotán,Mujer,22,2,Urbano
Chiquimula,Camotán,Mujer,23,525,Rural
Chiquimula,Camotán,Mujer,23,4,Urbano
Chiquimula,Camotán,Mujer,24,509,Rural
Chiquimula,Camotán,Mujer,24,3,Urbano
Chiquimula,Camotán,Mujer,25,475,Rural
Chiquimula,Camotán,Mujer,25,6,Urbano
Chiquimula,Camotán,Mujer,26,430,Rural
Chiquimula,Camotán,Mujer,26,7,Urbano
Chiquimula,Camotán,Mujer,27,399,Rural
Chiquimula,Camotán,Mujer,27,6,Urbano
Chiquimula,Camotán,Mujer,28,410,Rural
Chiquimula,Camotán,Mujer,28,10,Urbano
Chiquimula,Camotán,Mujer,29,387,Rural
Chiquimula,Camotán,Mujer,29,11,Urbano
Chiquimula,Camotán,Mujer,30,393,Rural
Chiquimula,Camotán,Mujer,30,4,Urbano
Chiquimula,Camotán,Mujer,31,304,Rural
Chiquimula,Camotán,Mujer,31,8,Urbano
Chiquimula,Camotán,Mujer,32,378,Rural
Chiquimula,Camotán,Mujer,32,6,Urbano
Chiquimula,Camotán,Mujer,33,343,Rural
Chiquimula,Camotán,Mujer,33,9,Urbano
Chiquimula,Camotán,Mujer,34,323,Rural
Chiquimula,Camotán,Mujer,34,5,Urbano
Chiquimula,Camotán,Mujer,35,310,Rural
Chiquimula,Camotán,Mujer,35,2,Urbano
Chiquimula,Camotán,Mujer,36,325,Rural
Chiquimula,Camotán,Mujer,36,3,Urbano
Chiquimula,Camotán,Mujer,37,289,Rural
Chiquimula,Camotán,Mujer,37,4,Urbano
Chiquimula,Camotán,Mujer,38,296,Rural
Chiquimula,Camotán,Mujer,38,6,Urbano
Chiquimula,Camotán,Mujer,39,266,Rural
Chiquimula,Camotán,Mujer,39,5,Urbano
Chiquimula,Camotán,Mujer,40,281,Rural
Chiquimula,Camotán,Mujer,40,4,Urbano
Chiquimula,Camotán,Mujer,41,186,Rural
Chiquimula,Camotán,Mujer,41,7,Urbano
Chiquimula,Camotán,Mujer,42,240,Rural
Chiquimula,Camotán,Mujer,42,3,Urbano
Chiquimula,Camotán,Mujer,43,263,Rural
Chiquimula,Camotán,Mujer,43,4,Urbano
Chiquimula,Camotán,Mujer,44,246,Rural
Chiquimula,Camotán,Mujer,44,4,Urbano
Chiquimula,Camotán,Mujer,45,201,Rural
Chiquimula,Camotán,Mujer,45,5,Urbano
Chiquimula,Camotán,Mujer,46,194,Rural
Chiquimula,Camotán,Mujer,46,4,Urbano
Chiquimula,Camotán,Mujer,47,168,Rural
Chiquimula,Camotán,Mujer,47,3,Urbano
Chiquimula,Camotán,Mujer,48,170,Rural
Chiquimula,Camotán,Mujer,48,5,Urbano
Chiquimula,Camotán,Mujer,49,139,Rural
Chiquimula,Camotán,Mujer,49,1,Urbano
Chiquimula,Camotán,Mujer,50,134,Rural
Chiquimula,Camotán,Mujer,50,5,Urbano
Chiquimula,Camotán,Mujer,51,119,Rural
Chiquimula,Camotán,Mujer,51,2,Urbano
Chiquimula,Camotán,Mujer,52,145,Rural
Chiquimula,Camotán,Mujer,53,156,Rural
Chiquimula,Camotán,Mujer,53,1,Urbano
Chiquimula,Camotán,Mujer,54,132,Rural
Chiquimula,Camotán,Mujer,54,7,Urbano
Chiquimula,Camotán,Mujer,55,147,Rural
Chiquimula,Camotán,Mujer,55,3,Urbano
Chiquimula,Camotán,Mujer,56,110,Rural
Chiquimula,Camotán,Mujer,56,1,Urbano
Chiquimula,Camotán,Mujer,57,131,Rural
Chiquimula,Camotán,Mujer,57,4,Urbano
Chiquimula,Camotán,Mujer,58,144,Rural
Chiquimula,Camotán,Mujer,58,1,Urbano
Chiquimula,Camotán,Mujer,59,114,Rural
Chiquimula,Camotán,Mujer,59,4,Urbano
Chiquimula,Camotán,Mujer,60,124,Rural
Chiquimula,Camotán,Mujer,60,2,Urbano
Chiquimula,Camotán,Mujer,61,111,Rural
Chiquimula,Camotán,Mujer,61,2,Urbano
Chiquimula,Camotán,Mujer,62,91,Rural
Chiquimula,Camotán,Mujer,63,99,Rural
Chiquimula,Camotán,Mujer,64,109,Rural
Chiquimula,Camotán,Mujer,64,5,Urbano
Chiquimula,Camotán,Mujer,65,92,Rural
Chiquimula,Camotán,Mujer,65,2,Urbano
Chiquimula,Camotán,Mujer,66,96,Rural
Chiquimula,Camotán,Mujer,66,2,Urbano
Chiquimula,Camotán,Mujer,67,85,Rural
Chiquimula,Camotán,Mujer,67,2,Urbano
Chiquimula,Camotán,Mujer,68,97,Rural
Chiquimula,Camotán,Mujer,69,69,Rural
Chiquimula,Camotán,Mujer,69,2,Urbano
Chiquimula,Camotán,Mujer,70,77,Rural
Chiquimula,Camotán,Mujer,71,53,Rural
Chiquimula,Camotán,Mujer,71,1,Urbano
Chiquimula,Camotán,Mujer,72,47,Rural
Chiquimula,Camotán,Mujer,72,2,Urbano
Chiquimula,Camotán,Mujer,73,54,Rural
Chiquimula,Camotán,Mujer,74,43,Rural
Chiquimula,Camotán,Mujer,74,1,Urbano
Chiquimula,Camotán,Mujer,75,54,Rural
Chiquimula,Camotán,Mujer,75,2,Urbano
Chiquimula,Camotán,Mujer,76,40,Rural
Chiquimula,Camotán,Mujer,76,3,Urbano
Chiquimula,Camotán,Mujer,77,42,Rural
Chiquimula,Camotán,Mujer,77,2,Urbano
Chiquimula,Camotán,Mujer,78,44,Rural
Chiquimula,Camotán,Mujer,79,23,Rural
Chiquimula,Camotán,Mujer,80,36,Rural
Chiquimula,Camotán,Mujer,81,12,Rural
Chiquimula,Camotán,Mujer,82,15,Rural
Chiquimula,Camotán,Mujer,82,1,Urbano
Chiquimula,Camotán,Mujer,83,21,Rural
Chiquimula,Camotán,Mujer,84,14,Rural
Chiquimula,Camotán,Mujer,85,9,Rural
Chiquimula,Camotán,Mujer,86,20,Rural
Chiquimula,Camotán,Mujer,87,11,Rural
Chiquimula,Camotán,Mujer,88,12,Rural
Chiquimula,Camotán,Mujer,89,6,Rural
Chiquimula,Camotán,Mujer,90,4,Rural
Chiquimula,Camotán,Mujer,91,3,Rural
Chiquimula,Camotán,Mujer,92,4,Rural
Chiquimula,Camotán,Mujer,93,4,Rural
Chiquimula,Camotán,Mujer,94,2,Rural
Chiquimula,Camotán,Mujer,95,3,Rural
Chiquimula,Camotán,Mujer,96,2,Rural
Chiquimula,Camotán,Mujer,97,1,Rural
Chiquimula,Camotán,Mujer,98,2,Rural
Chiquimula,Camotán,Mujer,99,1,Rural
Chiquimula,Camotán,Mujer,101,1,Rural
Chiquimula,Camotán,Mujer,110,1,Rural
Chiquimula,Chiquimula,Hombre,0,1139,Urbano
Chiquimula,Chiquimula,Hombre,1,1145,Urbano
Chiquimula,Chiquimula,Hombre,2,1275,Urbano
Chiquimula,Chiquimula,Hombre,3,1251,Urbano
Chiquimula,Chiquimula,Hombre,4,1328,Urbano
Chiquimula,Chiquimula,Hombre,5,1282,Urbano
Chiquimula,Chiquimula,Hombre,6,1291,Urbano
Chiquimula,Chiquimula,Hombre,7,1168,Urbano
Chiquimula,Chiquimula,Hombre,8,1243,Urbano
Chiquimula,Chiquimula,Hombre,9,1196,Urbano
Chiquimula,Chiquimula,Hombre,10,1195,Urbano
Chiquimula,Chiquimula,Hombre,11,1130,Urbano
Chiquimula,Chiquimula,Hombre,12,1238,Urbano
Chiquimula,Chiquimula,Hombre,13,1188,Urbano
Chiquimula,Chiquimula,Hombre,14,1141,Urbano
Chiquimula,Chiquimula,Hombre,15,1229,Urbano
Chiquimula,Chiquimula,Hombre,16,1186,Urbano
Chiquimula,Chiquimula,Hombre,17,1268,Urbano
Chiquimula,Chiquimula,Hombre,18,1343,Urbano
Chiquimula,Chiquimula,Hombre,19,1022,Urbano
Chiquimula,Chiquimula,Hombre,20,1090,Urbano
Chiquimula,Chiquimula,Hombre,21,999,Urbano
Chiquimula,Chiquimula,Hombre,22,1093,Urbano
Chiquimula,Chiquimula,Hombre,23,1075,Urbano
Chiquimula,Chiquimula,Hombre,24,945,Urbano
Chiquimula,Chiquimula,Hombre,25,1032,Urbano
Chiquimula,Chiquimula,Hombre,26,848,Urbano
Chiquimula,Chiquimula,Hombre,27,864,Urbano
Chiquimula,Chiquimula,Hombre,28,908,Urbano
Chiquimula,Chiquimula,Hombre,29,728,Urbano
Chiquimula,Chiquimula,Hombre,30,897,Urbano
Chiquimula,Chiquimula,Hombre,31,514,Urbano
Chiquimula,Chiquimula,Hombre,32,732,Urbano
Chiquimula,Chiquimula,Hombre,33,681,Urbano
Chiquimula,Chiquimula,Hombre,34,717,Urbano
Chiquimula,Chiquimula,Hombre,35,694,Urbano
Chiquimula,Chiquimula,Hombre,36,523,Urbano
Chiquimula,Chiquimula,Hombre,37,606,Urbano
Chiquimula,Chiquimula,Hombre,38,678,Urbano
Chiquimula,Chiquimula,Hombre,39,573,Urbano
Chiquimula,Chiquimula,Hombre,40,674,Urbano
Chiquimula,Chiquimula,Hombre,41,434,Urbano
Chiquimula,Chiquimula,Hombre,42,528,Urbano
