NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,PCP12||Autoidentificación
Chiquimula,Camotán,Hombre,42,92,Ladina (o)
Chiquimula,Camotán,Hombre,42,136,Maya
Chiquimula,Camotán,Hombre,43,77,Ladina (o)
Chiquimula,Camotán,Hombre,43,137,Maya
Chiquimula,Camotán,Hombre,44,2,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,44,2,Garífuna
Chiquimula,Camotán,Hombre,44,73,Ladina (o)
Chiquimula,Camotán,Hombre,44,129,Maya
Chiquimula,Camotán,Hombre,45,1,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,45,76,Ladina (o)
Chiquimula,Camotán,Hombre,45,122,Maya
Chiquimula,Camotán,Hombre,46,2,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,46,1,Garífuna
Chiquimula,Camotán,Hombre,46,66,Ladina (o)
Chiquimula,Camotán,Hombre,46,109,Maya
Chiquimula,Camotán,Hombre,47,3,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,47,1,Extranjera (o)
Chiquimula,Camotán,Hombre,47,1,Garífuna
Chiquimula,Camotán,Hombre,47,68,Ladina (o)
Chiquimula,Camotán,Hombre,47,98,Maya
Chiquimula,Camotán,Hombre,48,1,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,48,53,Ladina (o)
Chiquimula,Camotán,Hombre,48,88,Maya
Chiquimula,Camotán,Hombre,49,1,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,49,1,Garífuna
Chiquimula,Camotán,Hombre,49,55,Ladina (o)
Chiquimula,Camotán,Hombre,49,94,Maya
Chiquimula,Camotán,Hombre,50,55,Ladina (o)
Chiquimula,Camotán,Hombre,50,96,Maya
Chiquimula,Camotán,Hombre,51,1,Extranjera (o)
Chiquimula,Camotán,Hombre,51,1,Garífuna
Chiquimula,Camotán,Hombre,51,53,Ladina (o)
Chiquimula,Camotán,Hombre,51,69,Maya
Chiquimula,Camotán,Hombre,52,52,Ladina (o)
Chiquimula,Camotán,Hombre,52,88,Maya
Chiquimula,Camotán,Hombre,53,1,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,53,1,Garífuna
Chiquimula,Camotán,Hombre,53,56,Ladina (o)
Chiquimula,Camotán,Hombre,53,80,Maya
Chiquimula,Camotán,Hombre,54,1,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,54,1,Extranjera (o)
Chiquimula,Camotán,Hombre,54,1,Garífuna
Chiquimula,Camotán,Hombre,54,46,Ladina (o)
Chiquimula,Camotán,Hombre,54,78,Maya
Chiquimula,Camotán,Hombre,55,1,Extranjera (o)
Chiquimula,Camotán,Hombre,55,1,Garífuna
Chiquimula,Camotán,Hombre,55,47,Ladina (o)
Chiquimula,Camotán,Hombre,55,53,Maya
Chiquimula,Camotán,Hombre,56,41,Ladina (o)
Chiquimula,Camotán,Hombre,56,79,Maya
Chiquimula,Camotán,Hombre,56,1,Xinka
Chiquimula,Camotán,Hombre,57,28,Ladina (o)
Chiquimula,Camotán,Hombre,57,89,Maya
Chiquimula,Camotán,Hombre,58,55,Ladina (o)
Chiquimula,Camotán,Hombre,58,87,Maya
Chiquimula,Camotán,Hombre,59,1,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,59,2,Extranjera (o)
Chiquimula,Camotán,Hombre,59,1,Garífuna
Chiquimula,Camotán,Hombre,59,41,Ladina (o)
Chiquimula,Camotán,Hombre,59,82,Maya
Chiquimula,Camotán,Hombre,60,50,Ladina (o)
Chiquimula,Camotán,Hombre,60,87,Maya
Chiquimula,Camotán,Hombre,61,2,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,61,36,Ladina (o)
Chiquimula,Camotán,Hombre,61,44,Maya
Chiquimula,Camotán,Hombre,62,1,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,62,29,Ladina (o)
Chiquimula,Camotán,Hombre,62,53,Maya
Chiquimula,Camotán,Hombre,63,34,Ladina (o)
Chiquimula,Camotán,Hombre,63,58,Maya
Chiquimula,Camotán,Hombre,64,30,Ladina (o)
Chiquimula,Camotán,Hombre,64,58,Maya
Chiquimula,Camotán,Hombre,65,1,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,65,1,Garífuna
Chiquimula,Camotán,Hombre,65,41,Ladina (o)
Chiquimula,Camotán,Hombre,65,60,Maya
Chiquimula,Camotán,Hombre,66,1,Extranjera (o)
Chiquimula,Camotán,Hombre,66,31,Ladina (o)
Chiquimula,Camotán,Hombre,66,51,Maya
Chiquimula,Camotán,Hombre,67,28,Ladina (o)
Chiquimula,Camotán,Hombre,67,42,Maya
Chiquimula,Camotán,Hombre,68,32,Ladina (o)
Chiquimula,Camotán,Hombre,68,49,Maya
Chiquimula,Camotán,Hombre,69,31,Ladina (o)
Chiquimula,Camotán,Hombre,69,44,Maya
Chiquimula,Camotán,Hombre,70,1,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,70,26,Ladina (o)
Chiquimula,Camotán,Hombre,70,50,Maya
Chiquimula,Camotán,Hombre,71,23,Ladina (o)
Chiquimula,Camotán,Hombre,71,52,Maya
Chiquimula,Camotán,Hombre,72,20,Ladina (o)
Chiquimula,Camotán,Hombre,72,39,Maya
Chiquimula,Camotán,Hombre,73,19,Ladina (o)
Chiquimula,Camotán,Hombre,73,38,Maya
Chiquimula,Camotán,Hombre,74,1,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,74,1,Garífuna
Chiquimula,Camotán,Hombre,74,9,Ladina (o)
Chiquimula,Camotán,Hombre,74,26,Maya
Chiquimula,Camotán,Hombre,75,15,Ladina (o)
Chiquimula,Camotán,Hombre,75,33,Maya
Chiquimula,Camotán,Hombre,76,8,Ladina (o)
Chiquimula,Camotán,Hombre,76,24,Maya
Chiquimula,Camotán,Hombre,77,11,Ladina (o)
Chiquimula,Camotán,Hombre,77,25,Maya
Chiquimula,Camotán,Hombre,78,11,Ladina (o)
Chiquimula,Camotán,Hombre,78,26,Maya
Chiquimula,Camotán,Hombre,79,1,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,79,11,Ladina (o)
Chiquimula,Camotán,Hombre,79,14,Maya
Chiquimula,Camotán,Hombre,80,1,Garífuna
Chiquimula,Camotán,Hombre,80,10,Ladina (o)
Chiquimula,Camotán,Hombre,80,26,Maya
Chiquimula,Camotán,Hombre,81,7,Ladina (o)
Chiquimula,Camotán,Hombre,81,13,Maya
Chiquimula,Camotán,Hombre,82,6,Ladina (o)
Chiquimula,Camotán,Hombre,82,17,Maya
Chiquimula,Camotán,Hombre,83,7,Ladina (o)
Chiquimula,Camotán,Hombre,83,11,Maya
Chiquimula,Camotán,Hombre,84,5,Ladina (o)
Chiquimula,Camotán,Hombre,84,11,Maya
Chiquimula,Camotán,Hombre,85,1,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,85,2,Ladina (o)
Chiquimula,Camotán,Hombre,85,10,Maya
Chiquimula,Camotán,Hombre,86,6,Ladina (o)
Chiquimula,Camotán,Hombre,86,6,Maya
Chiquimula,Camotán,Hombre,87,1,Garífuna
Chiquimula,Camotán,Hombre,87,6,Ladina (o)
Chiquimula,Camotán,Hombre,87,9,Maya
Chiquimula,Camotán,Hombre,88,8,Ladina (o)
Chiquimula,Camotán,Hombre,88,5,Maya
Chiquimula,Camotán,Hombre,89,4,Ladina (o)
Chiquimula,Camotán,Hombre,89,5,Maya
Chiquimula,Camotán,Hombre,90,1,Garífuna
Chiquimula,Camotán,Hombre,90,4,Ladina (o)
Chiquimula,Camotán,Hombre,90,1,Maya
Chiquimula,Camotán,Hombre,91,1,Ladina (o)
Chiquimula,Camotán,Hombre,91,2,Maya
Chiquimula,Camotán,Hombre,92,2,Ladina (o)
Chiquimula,Camotán,Hombre,94,1,Ladina (o)
Chiquimula,Camotán,Hombre,94,2,Maya
Chiquimula,Camotán,Hombre,95,1,Ladina (o)
Chiquimula,Camotán,Hombre,95,1,Maya
Chiquimula,Camotán,Hombre,97,3,Maya
Chiquimula,Camotán,Hombre,98,1,Ladina (o)
Chiquimula,Camotán,Hombre,100,1,Maya
Chiquimula,Camotán,Hombre,106,1,Ladina (o)
Chiquimula,Camotán,Hombre,108,1,Ladina (o)
Chiquimula,Camotán,Mujer,0,2,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Mujer,0,2,Garífuna
Chiquimula,Camotán,Mujer,0,301,Ladina (o)
Chiquimula,Camotán,Mujer,0,533,Maya
Chiquimula,Camotán,Mujer,1,2,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Mujer,1,2,Garífuna
Chiquimula,Camotán,Mujer,1,291,Ladina (o)
Chiquimula,Camotán,Mujer,1,494,Maya
Chiquimula,Camotán,Mujer,2,6,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Mujer,2,1,Garífuna
Chiquimula,Camotán,Mujer,2,272,Ladina (o)
Chiquimula,Camotán,Mujer,2,582,Maya
Chiquimula,Camotán,Mujer,3,2,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Mujer,3,1,Garífuna
Chiquimula,Camotán,Mujer,3,293,Ladina (o)
Chiquimula,Camotán,Mujer,3,511,Maya
Chiquimula,Camotán,Mujer,4,5,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Mujer,4,5,Garífuna
Chiquimula,Camotán,Mujer,4,274,Ladina (o)
Chiquimula,Camotán,Mujer,4,550,Maya
Chiquimula,Camotán,Mujer,5,4,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Mujer,5,3,Garífuna
Chiquimula,Camotán,Mujer,5,255,Ladina (o)
Chiquimula,Camotán,Mujer,5,507,Maya
Chiquimula,Camotán,Mujer,6,2,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Mujer,6,1,Garífuna
Chiquimula,Camotán,Mujer,6,262,Ladina (o)
Chiquimula,Camotán,Mujer,6,526,Maya
Chiquimula,Camotán,Mujer,6,1,Xinka
Chiquimula,Camotán,Mujer,7,2,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Mujer,7,1,Garífuna
Chiquimula,Camotán,Mujer,7,237,Ladina (o)
Chiquimula,Camotán,Mujer,7,535,Maya
Chiquimula,Camotán,Mujer,8,1,Extranjera (o)
Chiquimula,Camotán,Mujer,8,246,Ladina (o)
Chiquimula,Camotán,Mujer,8,452,Maya
Chiquimula,Camotán,Mujer,9,5,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Mujer,9,2,Extranjera (o)
Chiquimula,Camotán,Mujer,9,1,Garífuna
Chiquimula,Camotán,Mujer,9,214,Ladina (o)
Chiquimula,Camotán,Mujer,9,487,Maya
Chiquimula,Camotán,Mujer,9,1,Xinka
Chiquimula,Camotán,Mujer,10,2,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Mujer,10,1,Extranjera (o)
Chiquimula,Camotán,Mujer,10,3,Garífuna
Chiquimula,Camotán,Mujer,10,242,Ladina (o)
Chiquimula,Camotán,Mujer,10,482,Maya
Chiquimula,Camotán,Mujer,11,2,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Mujer,11,3,Garífuna
Chiquimula,Camotán,Mujer,11,255,Ladina (o)
Chiquimula,Camotán,Mujer,11,482,Maya
Chiquimula,Camotán,Mujer,12,2,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Mujer,12,2,Garífuna
Chiquimula,Camotán,Mujer,12,240,Ladina (o)
Chiquimula,Camotán,Mujer,12,469,Maya
Chiquimula,Camotán,Mujer,13,2,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Mujer,13,4,Garífuna
Chiquimula,Camotán,Mujer,13,235,Ladina (o)
Chiquimula,Camotán,Mujer,13,477,Maya
Chiquimula,Camotán,Mujer,14,2,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Mujer,14,3,Garífuna
Chiquimula,Camotán,Mujer,14,207,Ladina (o)
Chiquimula,Camotán,Mujer,14,461,Maya
Chiquimula,Camotán,Mujer,15,5,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Mujer,15,1,Extranjera (o)
Chiquimula,Camotán,Mujer,15,2,Garífuna
Chiquimula,Camotán,Mujer,15,264,Ladina (o)
Chiquimula,Camotán,Mujer,15,503,Maya
Chiquimula,Camotán,Mujer,16,3,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Mujer,16,5,Garífuna
Chiquimula,Camotán,Mujer,16,231,Ladina (o)
Chiquimula,Camotán,Mujer,16,483,Maya
Chiquimula,Camotán,Mujer,17,2,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Mujer,17,4,Garífuna
Chiquimula,Camotán,Mujer,17,268,Ladina (o)
Chiquimula,Camotán,Mujer,17,472,Maya
Chiquimula,Camotán,Mujer,18,7,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Mujer,18,3,Garífuna
Chiquimula,Camotán,Mujer,18,240,Ladina (o)
Chiquimula,Camotán,Mujer,18,480,Maya
Chiquimula,Camotán,Mujer,19,3,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Mujer,19,3,Garífuna
Chiquimula,Camotán,Mujer,19,249,Ladina (o)
Chiquimula,Camotán,Mujer,19,381,Maya
Chiquimula,Camotán,Mujer,20,2,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Mujer,20,1,Extranjera (o)
Chiquimula,Camotán,Mujer,20,1,Garífuna
Chiquimula,Camotán,Mujer,20,230,Ladina (o)
Chiquimula,Camotán,Mujer,20,379,Maya
Chiquimula,Camotán,Mujer,21,1,Extranjera (o)
Chiquimula,Camotán,Mujer,21,2,Garífuna
Chiquimula,Camotán,Mujer,21,204,Ladina (o)
Chiquimula,Camotán,Mujer,21,321,Maya
Chiquimula,Camotán,Mujer,22,4,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Mujer,22,1,Extranjera (o)
Chiquimula,Camotán,Mujer,22,3,Garífuna
Chiquimula,Camotán,Mujer,22,182,Ladina (o)
Chiquimula,Camotán,Mujer,22,327,Maya
Chiquimula,Camotán,Mujer,22,1,Xinka
Chiquimula,Camotán,Mujer,23,2,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Mujer,23,1,Garífuna
Chiquimula,Camotán,Mujer,23,180,Ladina (o)
Chiquimula,Camotán,Mujer,23,346,Maya
Chiquimula,Camotán,Mujer,24,6,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Mujer,24,2,Garífuna
Chiquimula,Camotán,Mujer,24,184,Ladina (o)
Chiquimula,Camotán,Mujer,24,320,Maya
Chiquimula,Camotán,Mujer,25,1,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Mujer,25,1,Extranjera (o)
Chiquimula,Camotán,Mujer,25,1,Garífuna
Chiquimula,Camotán,Mujer,25,165,Ladina (o)
Chiquimula,Camotán,Mujer,25,313,Maya
Chiquimula,Camotán,Mujer,26,1,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Mujer,26,2,Extranjera (o)
Chiquimula,Camotán,Mujer,26,1,Garífuna
Chiquimula,Camotán,Mujer,26,169,Ladina (o)
Chiquimula,Camotán,Mujer,26,264,Maya
Chiquimula,Camotán,Mujer,27,1,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Mujer,27,1,Garífuna
Chiquimula,Camotán,Mujer,27,154,Ladina (o)
Chiquimula,Camotán,Mujer,27,249,Maya
Chiquimula,Camotán,Mujer,28,3,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Mujer,28,160,Ladina (o)
Chiquimula,Camotán,Mujer,28,257,Maya
Chiquimula,Camotán,Mujer,29,2,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Mujer,29,2,Extranjera (o)
Chiquimula,Camotán,Mujer,29,1,Garífuna
Chiquimula,Camotán,Mujer,29,124,Ladina (o)
Chiquimula,Camotán,Mujer,29,269,Maya
Chiquimula,Camotán,Mujer,30,2,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Mujer,30,166,Ladina (o)
Chiquimula,Camotán,Mujer,30,229,Maya
Chiquimula,Camotán,Mujer,31,121,Ladina (o)
Chiquimula,Camotán,Mujer,31,191,Maya
Chiquimula,Camotán,Mujer,32,4,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Mujer,32,1,Garífuna
Chiquimula,Camotán,Mujer,32,152,Ladina (o)
Chiquimula,Camotán,Mujer,32,227,Maya
Chiquimula,Camotán,Mujer,33,2,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Mujer,33,1,Garífuna
Chiquimula,Camotán,Mujer,33,135,Ladina (o)
Chiquimula,Camotán,Mujer,33,214,Maya
Chiquimula,Camotán,Mujer,34,1,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Mujer,34,1,Extranjera (o)
Chiquimula,Camotán,Mujer,34,137,Ladina (o)
Chiquimula,Camotán,Mujer,34,189,Maya
Chiquimula,Camotán,Mujer,35,2,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Mujer,35,2,Garífuna
Chiquimula,Camotán,Mujer,35,123,Ladina (o)
